a,价格,涨幅,代码,1上0深,名称,上市日期,b,纯债价值,昨日收盘价,股价,股票涨幅,c,股票代码,上深,股票,转股价,转股价值,转股溢价率,纯债溢价率,回售触发价,强赎触发价,到期赎回价,转股日,申购日期,差
3,111.95,1.51,128118,0,瀛通转债,20200805,2,106.887,10.56,11.62,10.04,2,002861,0,瀛通通讯,21.35,54.4262,105.69,4.74,14.95,27.76,115.0,20210108,20200702,-8.53
3,171.674,1.99,128040,0,华通转债,20180713,2,104.9603,13.96,15.36,10.03,2,002758,0,浙农股份,9.73,157.8623,8.75,63.56,6.81,12.65,108.0,20181221,20180614,-8.04
3,117.94,1.5,127046,0,百润转债,20211103,2,95.6805,32.6,35.69,9.48,2,002568,0,百润股份,47.44,75.2319,56.77,23.26,33.21,61.67,110.0,20220412,20210929,-7.98
3,132.04,1.4,113059,1,福莱转债,20220613,2,94.676,36.45,39.8,9.19,2,601865,1,福莱特,43.94,90.5781,45.77,39.47,30.76,57.12,112.0,20221128,20220520,-7.79
3,126.703,1.75,118008,1,海优转债,20220721,2,96.7864,145.36,158.12,8.78,2,688680,1,海优新材,217.42,72.7256,74.22,30.91,152.19,282.65,115.0,20221229,20220623,-7.03
3,140.85,7.1,118003,1,华兴转债,20211220,2,95.2576,29.44,33.59,14.1,2,688001,1,华兴源创,30.76,109.2003,28.98,47.86,21.53,39.99,110.0,20220606,20211129,-7.0
3,134.13,3.28,128079,0,英联转债,20191121,2,105.7763,6.77,7.45,10.04,2,002846,0,英联股份,8.29,89.8673,49.25,26.81,5.8,10.78,112.0,20200427,20191021,-6.76
3,146.868,3.43,128022,0,众信转债,20171228,2,104.7102,7.66,8.43,10.05,2,002707,0,众信旅游,5.95,141.6807,3.66,40.26,4.17,7.74,106.0,20180607,20171201,-6.62
3,126.833,3.86,127021,0,特发转2,20200904,2,103.3405,6.44,7.08,9.94,2,000070,0,特发信息,7.33,96.5894,31.31,22.73,5.13,9.53,110.0,20210218,20200807,-6.08
3,169.532,5.36,123135,0,泰林转债,20220119,2,100.2959,36.37,40.46,11.25,2,300813,0,泰林生物,54.43,74.334,128.07,69.03,38.1,70.76,115.0,20220704,20211228,-5.89
3,120.61,1.5,127066,0,科利转债,20220803,2,92.4495,97.7,104.9,7.37,2,002850,0,科达利,159.35,65.8299,83.21,30.46,111.55,207.16,110.0,20230116,20220708,-5.87
3,142.3,3.44,113061,1,拓普转债,20220812,2,91.8136,68.46,74.82,9.29,2,601689,1,拓普集团,71.38,104.9594,35.58,54.99,49.97,92.79,110.0,20230120,20220714,-5.85
3,118.001,2.14,113530,1,大丰转债,20190418,2,111.6769,11.42,12.32,7.88,2,603081,1,大丰实业,16.1,76.5217,54.21,5.66,11.27,20.93,116.0,20191008,20190327,-5.74
3,111.02,0.76,113633,1,科沃转债,20211229,2,95.2455,64.13,68.14,6.25,2,603486,1,科沃斯,177.13,38.4689,188.6,16.56,123.99,230.27,110.0,20220606,20211130,-5.49
3,124.699,1.44,118006,1,阿拉转债,20220412,2,99.3145,38.15,40.66,6.58,2,688179,1,阿拉丁,45.23,89.8961,38.71,25.56,31.66,58.8,115.0,20220921,20220315,-5.14
