,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
300208,28,19,20,19,46.43,53.57,60.71,10.71,17.86,32.14,42.86,7.14,21.43,50.0,42.86,42.86,39.29,63.16,50.0,7.14,21.05,30.0,25.0,0.0,25.0,39.29,52.63,35.0
002800,22,19,17,12,54.55,45.45,50.0,0.0,27.27,18.18,31.82,22.73,27.27,59.09,36.36,63.64,45.45,42.11,29.41,0.0,21.05,11.76,27.27,10.53,17.65,50.0,31.58,47.06
605388,24,16,22,12,41.67,54.17,37.5,8.33,16.67,8.33,45.83,16.67,25.0,54.17,54.17,41.67,25.0,75.0,31.82,4.17,25.0,9.09,33.33,18.75,9.09,37.5,75.0,27.27
002915,25,19,19,14,60.0,48.0,44.0,4.0,16.0,16.0,28.0,28.0,16.0,72.0,44.0,52.0,44.0,52.63,26.32,0.0,21.05,15.79,20.0,26.32,10.53,52.0,42.11,26.32
603045,22,16,20,12,50.0,50.0,50.0,0.0,27.27,22.73,45.45,27.27,27.27,54.55,45.45,45.45,40.91,68.75,30.0,0.0,37.5,25.0,27.27,25.0,15.0,40.91,62.5,25.0
603178,22,10,17,17,45.45,36.36,45.45,0.0,13.64,13.64,27.27,13.64,9.09,45.45,31.82,45.45,27.27,60.0,47.06,0.0,30.0,17.65,9.09,20.0,5.88,27.27,50.0,41.18
000415,15,10,12,12,46.67,33.33,66.67,6.67,26.67,33.33,53.33,26.67,20.0,60.0,20.0,46.67,26.67,50.0,66.67,6.67,40.0,41.67,33.33,20.0,8.33,26.67,30.0,41.67
000956,29,0,0,0,44.83,24.14,55.17,3.45,10.34,31.03,34.48,34.48,13.79,65.52,51.72,44.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
002806,26,22,18,14,34.62,42.31,57.69,3.85,23.08,26.92,57.69,19.23,15.38,53.85,42.31,34.62,30.77,40.91,33.33,3.85,22.73,22.22,46.15,18.18,11.11,46.15,45.45,11.11
300079,23,19,19,12,52.17,69.57,47.83,8.7,17.39,26.09,39.13,8.7,21.74,47.83,60.87,43.48,43.48,63.16,26.32,8.7,21.05,10.53,30.43,5.26,5.26,39.13,52.63,31.58
